id,code,first_name,last_name,web_name,team_id,position_id,photo
221,20658,Pablo,Zabaleta,Zabaleta,10,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p20658.png
222,17476,Vincent,Kompany,Kompany,10,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p17476.png
223,17336,Gaël,Clichy,Clichy,10,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p17336.png
224,37748,Bacary,Sagna,Sagna,10,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p37748.png
225,57112,Eliaquim,Mangala,Mangala,10,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p57112.png
226,57410,Nicolás,Otamendi,Otamendi,10,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p57410.png
227,41823,Fabian,Delph,Delph,10,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p41823.png
228,103955,Raheem,Sterling,Sterling,10,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p103955.png
229,28554,Samir,Nasri,Nasri,10,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p28554.png
230,20664,David,Silva,Silva,10,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p20664.png
231,14664,Gnegneri Yaya,Touré,Yaya Touré,10,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p14664.png
232,17740,Jesús,Navas,Navas,10,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p17740.png
233,27789,Fernando,Luiz Rosa,Fernandinho,10,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p27789.png
234,52538,Fernando Francisco,Reges,Fernando,10,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p52538.png
235,61366,Kevin,De Bruyne,De Bruyne,10,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p61366.png
236,59859,Ilkay,Gündogan,Gündogan,10,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p59859.png
237,86173,Manuel,Agudo Durán,Nolito,10,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p86173.png
238,206325,Oleksandr,Zinchenko,Zinchenko,10,3,https://resources.premierleague.com/premierleague/photos/players/110x140/p206325.png
239,37572,Sergio,Agüero,Agüero,10,4,https://resources.premierleague.com/premierleague/photos/players/110x140/p37572.png
240,57001,Wilfried,Bony,Bony,14,4,https://resources.premierleague.com/premierleague/photos/players/110x140/p57001.png
241,173515,Kelechi,Iheanacho,Iheanacho,10,4,https://resources.premierleague.com/premierleague/photos/players/110x140/p173515.png
242,51940,David,de Gea,de Gea,11,1,https://resources.premierleague.com/premierleague/photos/players/110x140/p51940.png
243,42899,Sergio,Romero,Romero,11,1,https://resources.premierleague.com/premierleague/photos/players/110x140/p42899.png
244,55909,Chris,Smalling,Smalling,11,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p55909.png
245,76359,Phil,Jones,Jones,11,2,https://resources.premierleague.com/premierleague/photos/players/110x140/p76359.png
